
  J.A.R.V.I.S. Server v0.1.0
  WebSocket: wss://0.0.0.0:8340/ws/voice
  REST API:  https://0.0.0.0:8340/api/
  Tasks:     https://0.0.0.0:8340/api/tasks

INFO:     127.0.0.1:54258 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:52417 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:64104 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:64106 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:64707 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:52396 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:62320 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:57604 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:52703 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:52705 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:58015 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:50328 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:56295 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:53594 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:63986 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:63988 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:52548 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:52550 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:51235 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:51236 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:59634 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:59636 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:63022 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:63023 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:61944 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:61946 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:64805 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:64806 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:61083 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:61085 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:61385 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:61386 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:54728 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:54730 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:50213 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:50215 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:55400 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:55402 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:60267 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:60269 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:49673 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:49675 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:52195 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:52197 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:59798 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:55458 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:65352 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:65354 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:56597 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:56598 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:62190 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:62192 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:55596 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:55598 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:58898 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:58900 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:50837 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:50839 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:51085 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:51087 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:61643 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:61644 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:58364 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:58366 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:63954 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:63956 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:56988 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:56989 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:61045 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:61047 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:63138 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:63140 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:50299 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:50301 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:59354 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:59356 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:49993 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:49995 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:63351 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:63353 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:51230 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:51232 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:60423 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:60425 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:51612 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:51614 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:58671 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:58673 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:63211 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:63213 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:61636 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:61638 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:56841 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:56843 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:50448 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:50450 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:57757 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:57759 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:63836 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:63837 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:59498 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:59500 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:61646 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:61648 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:50503 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:50505 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53978 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:53980 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:64441 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:64443 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:51887 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:51889 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:51891 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:62768 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:62807 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:55887 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:57404 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:57406 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:60308 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:61551 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:53832 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:53833 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:62653 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:63465 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:54425 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:57036 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:49782 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:49784 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53644 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:55380 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:63937 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:56962 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:51617 - "GET /api/system/stats HTTP/1.1" 200 OK
